Level,Distance,DurationWeeks,SessionsPerWeek,PeakKm,BaseWeeks,BuildWeeks,PeakWeeks,TaperWeeks,CutbackRule
ELITE,HalfMarathon,20,6,208.8,8,7,3,2,every 5 @ 10%
ELITE,Marathon,8,2,125.8,3,2,1,2,every 5 @ 10%
ELITE,Marathon,8,3,170,3,2,1,2,every 5 @ 10%
ELITE,Marathon,8,4,210.8,3,2,1,2,every 5 @ 10%
ELITE,Marathon,8,5,248.2,3,2,1,2,every 5 @ 10%
ELITE,Marathon,8,6,283.9,3,2,1,2,every 5 @ 10%
ELITE,Marathon,12,2,125.8,4,4,2,2,every 5 @ 10%
ELITE,Marathon,12,3,170,4,4,2,2,every 5 @ 10%
ELITE,Marathon,12,4,210.8,4,4,2,2,every 5 @ 10%
ELITE,Marathon,12,5,248.2,4,4,2,2,every 5 @ 10%
ELITE,Marathon,12,6,283.9,4,4,2,2,every 5 @ 10%
ELITE,Marathon,16,2,125.8,7,5,2,2,every 5 @ 10%
ELITE,Marathon,16,3,170,7,5,2,2,every 5 @ 10%
ELITE,Marathon,16,4,210.8,7,5,2,2,every 5 @ 10%
ELITE,Marathon,16,5,248.2,7,5,2,2,every 5 @ 10%
ELITE,Marathon,16,6,283.9,7,5,2,2,every 5 @ 10%
ELITE,Marathon,20,2,125.8,8,7,3,2,every 5 @ 10%
ELITE,Marathon,20,3,170,8,7,3,2,every 5 @ 10%
ELITE,Marathon,20,4,210.8,8,7,3,2,every 5 @ 10%
ELITE,Marathon,20,5,248.2,8,7,3,2,every 5 @ 10%
ELITE,Marathon,20,6,283.9,8,7,3,2,every 5 @ 10%
